,qitem,page_id,page_title,num_editors,num_edits,num_pageviews,num_interwiki,num_bytes,date_created,lgbt_topic,page_title_1,page_title_2,page_title_3,page_title_4
0,Q17884,66911,"Lesbiennes,_gays,_bisexuels_et_transgenres",260,913,3510.0,85,17165,20040410195325,69,LGBT,LGBT,LGBT,LGBT
1,Q15869,47177,Freddie_Mercury,438,2297,16053.0,135,80693,20040120213020,65,Freddie Mercury,Freddie Mercury,Freddie Mercury,Freddie Mercury
2,Q5592,41183,Michel-Ange,481,2421,1664.0,197,50911,20031210163102,64,Miguel Ángel,Michelangelo,Michelangelo Buonarroti,Michelangelo
3,Q30875,2253,Oscar_Wilde,400,1487,1402.0,119,63754,20020527200824,62,Oscar Wilde,Oscar Wilde,Oscar Wilde,Oscar Wilde
4,Q1744,68163,Madonna,809,6192,4741.0,132,166699,20040416121521,62,Madonna,Madonna,Madonna (kanerez),Madonna (abeslaria)
5,Q7251,7239,Alan_Turing,467,1888,1803.0,143,65757,20030108171307,61,Alan Turing,Alan Turing,Alan Turing,Alan Turing
6,Q5383,20299,David_Bowie,526,2533,3546.0,108,79150,20030620082819,61,David Bowie,David Bowie,David Bowie,David Bowie
7,Q44519,201722,Selma_Lagerlöf,138,280,128.0,104,14732,20050220014414,61,Selma Lagerlöf,Selma Lagerlöf,Selma Lagerlöf,Selma Lagerlöf
8,Q19848,4234975,Lady_Gaga,918,6502,5163.0,157,211551,20080713023011,61,Lady Gaga,Lady Gaga,Lady Gaga,Lady Gaga
9,Q1413,23105,Néron,442,2328,1403.0,100,54837,20030720183123,60,Nerón,Nerón,Neron,Neron
10,Q5603,25495,Andy_Warhol,475,2380,1791.0,128,51160,20030816200947,60,Andy Warhol,Andy Warhol,Andy Warhol,Andy Warhol
11,Q4235,1193868,Miley_Cyrus,623,4047,3790.0,105,86024,20061203132927,59,Miley Cyrus,Miley Cyrus,Miley Cyrus,Miley Cyrus
