	Wiki	Title	Pageviews	Interwiki	Bytes	English WD Label	WD Qitem
0	[[:zh:|zh]]	[{{fullurl:zh:香港氣候}} 香港氣候]	334	1	152815	[{{fullurl:en:climate_of_Hong_Kong}} climate of Hong Kong]	 [{{fullurl:wikidata:Q5133552}} Q5133552]
2	[[:zh:|zh]]	[{{fullurl:zh:西九龙站内地口岸区}} 西九龙站内地口岸区]	110	1	114505	[{{fullurl:en:West_Kowloon_Station_Mainland_Port_Area}} West Kowloon Station Mainland Port Area]	 [{{fullurl:wikidata:Q48928408}} Q48928408]
3	[[:kn:|kn]]	[{{fullurl:kn:ಎ‌ಎಮ್‌‍ಡಿ_(AMD)}} ಎ‌ಎಮ್‌‍ಡಿ (AMD)]	0	0	112813		 [{{fullurl:wikidata:Q15716988}} Q15716988]
4	[[:ru:|ru]]	[{{fullurl:ru:Научные_эксперименты_«Аполлона-17»}} Научные эксперименты «Аполлона-17»]	11	0	110243		 [{{fullurl:wikidata:Q16086713}} Q16086713]
5	[[:de:|de]]	[{{fullurl:de:Liste_der_Schutzgebiete_in_Irland}} Liste der Schutzgebiete in Irland]	2	0	105479	[{{fullurl:en:Protected_areas_of_Ireland}} Protected areas of Ireland]	 [{{fullurl:wikidata:Q19290489}} Q19290489]
6	[[:de:|de]]	[{{fullurl:de:Fossil_Butte_Member}} Fossil Butte Member]	3	0	96404	[{{fullurl:en:Fossil_Butte_Member}} Fossil Butte Member]	 [{{fullurl:wikidata:Q17540802}} Q17540802]
7	[[:zh:|zh]]	[{{fullurl:zh:羅君兒綁架案}} 羅君兒綁架案]	118	0	76748		 [{{fullurl:wikidata:Q20063957}} Q20063957]
8	[[:pl:|pl]]	[{{fullurl:pl:Biuro_Główne_Świadków_Jehowy}} Biuro Główne Świadków Jehowy]	54	0	70194		 [{{fullurl:wikidata:Q18327918}} Q18327918]
9	[[:gu:|gu]]	[{{fullurl:gu:શ્રી_નાથજીદાદાની_જગ્યા_-_દાણીધાર}} શ્રી નાથજીદાદાની જગ્યા - દાણીધાર]	4	2	64323	[{{fullurl:en:Shri_Nathjidada_Ni_Jagya}} Shri Nathjidada Ni Jagya]	 [{{fullurl:wikidata:Q2723247}} Q2723247]
10	[[:zh:|zh]]	[{{fullurl:zh:2008年夏季奧林匹克運動會香港區火炬接力}} 2008年夏季奧林匹克運動會香港區火炬接力]	22	1	63754	[{{fullurl:en:2008_Summer_Olympics_torch_relay_in_Hong_Kong}} 2008 Summer Olympics torch relay in Hong Kong]	 [{{fullurl:wikidata:Q10844996}} Q10844996]
