	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	English WD Label	WD Qitem
0	[[:cy:|cy]]	[{{fullurl:cy:Llên_Natur}} Llên Natur]	2	1	3950	[{{fullurl:en:Llên_Natur}} Llên Natur]	 [{{fullurl:wikidata:Q13129802}} Q13129802]
3	[[:it:|it]]	[{{fullurl:it:Divisione_di_Hoshangabad}} Divisione di Hoshangabad]	0	0	450		 [{{fullurl:wikidata:Q3712133}} Q3712133]
4	[[:it:|it]]	[{{fullurl:it:Contea_di_Broomfield}} Contea di Broomfield]	0	0	358		 [{{fullurl:wikidata:Q2613584}} Q2613584]
5	[[:uk:|uk]]	[{{fullurl:uk:Замок_Лейксліп}} Замок Лейксліп]	0	1	292	[{{fullurl:en:Leixlip_Castle}} Leixlip Castle]	 [{{fullurl:wikidata:Q21662423}} Q21662423]
6	[[:uk:|uk]]	[{{fullurl:uk:Замок_Кілтіл}} Замок Кілтіл]	0	1	292	[{{fullurl:en:Kilteel_Castle}} Kilteel Castle]	 [{{fullurl:wikidata:Q29052342}} Q29052342]
7	[[:uk:|uk]]	[{{fullurl:uk:Замок_Карбарі}} Замок Карбарі]	0	2	292	[{{fullurl:en:Carbury_Castle}} Carbury Castle]	 [{{fullurl:wikidata:Q29052334}} Q29052334]
8	[[:uk:|uk]]	[{{fullurl:uk:Замок_Ешкітон}} Замок Ешкітон]	0	1	292	[{{fullurl:en:Askeaton_Castle}} Askeaton Castle]	 [{{fullurl:wikidata:Q30246645}} Q30246645]
9	[[:uk:|uk]]	[{{fullurl:uk:Замок_Адер}} Замок Адер]	0	2	292	[{{fullurl:en:Adare_Desmond_Castle}} Adare Desmond Castle]	 [{{fullurl:wikidata:Q4159185}} Q4159185]
10	[[:uk:|uk]]	[{{fullurl:uk:Замок_Ніна}} Замок Ніна]	0	0	292	[{{fullurl:en:Nenagh_Castle}} Nenagh Castle]	 [{{fullurl:wikidata:Q32997007}} Q32997007]
11	[[:uk:|uk]]	[{{fullurl:uk:Замок_Баллігак}} Замок Баллігак]	0	1	292	[{{fullurl:en:Ballyhack_Castle}} Ballyhack Castle]	 [{{fullurl:wikidata:Q29052312}} Q29052312]
12	[[:uk:|uk]]	[{{fullurl:uk:Замок_Гранах}} Замок Гранах]	0	2	292	[{{fullurl:en:Granagh_Castle}} Granagh Castle]	 [{{fullurl:wikidata:Q4185822}} Q4185822]
13	[[:uk:|uk]]	[{{fullurl:uk:Замок_Портрейн}} Замок Портрейн]	0	1	292	[{{fullurl:en:Portrane_Castle}} Portrane Castle]	 [{{fullurl:wikidata:Q29052252}} Q29052252]
15	[[:br:|br]]	[{{fullurl:br:Llanio}} Llanio]	0	1	257	[{{fullurl:en:Llanio}} Llanio]	 [{{fullurl:wikidata:Q13129651}} Q13129651]
16	[[:fa:|fa]]	[{{fullurl:fa:کلر_سیدان}} کلر سیدان]	0	2	248	[{{fullurl:en:Tehsil_Kallar_Syedan}} Tehsil Kallar Syedan]	 [{{fullurl:wikidata:Q3695520}} Q3695520]
17	[[:de:|de]]	[{{fullurl:de:Gadgarra-Nationalpark}} Gadgarra-Nationalpark]	0	0	236	[{{fullurl:en:Gadgarra_National_Park}} Gadgarra National Park]	 [{{fullurl:wikidata:Q2697887}} Q2697887]
18	[[:de:|de]]	[{{fullurl:de:KULLA-(McIlwraith-Range)-Nationalpark}} KULLA-(McIlwraith-Range)-Nationalpark]	0	0	235	[{{fullurl:en:KULLA}} KULLA]	 [{{fullurl:wikidata:Q1719098}} Q1719098]
