	Wiki	Title	Pageviews	Interwiki	English WD Label	WD Qitem
1	[[:de:|de]]	[{{fullurl:de:Museum_Frieder_Burda}} Museum Frieder Burda]	137	4	[{{fullurl:en:Museum_Frieder_Burda}} Museum Frieder Burda]	 [{{fullurl:wikidata:Q1479961}} Q1479961]
2	[[:zh:|zh]]	[{{fullurl:zh:饒宗頤文化館}} 饒宗頤文化館]	134	1	[{{fullurl:en:Jao_Tsung-I_Academy}} Jao Tsung-I Academy]	 [{{fullurl:wikidata:Q15904027}} Q15904027]
3	[[:it:|it]]	[{{fullurl:it:Ecomuseo_Adda_di_Leonardo_da_Vinci}} Ecomuseo Adda di Leonardo da Vinci]	131	0		 [{{fullurl:wikidata:Q24940038}} Q24940038]
4	[[:es:|es]]	[{{fullurl:es:Penal_García_Moreno}} Penal García Moreno]	97	1	[{{fullurl:en:Panopticon}} Panopticon]	 [{{fullurl:wikidata:Q23759598}} Q23759598]
5	[[:de:|de]]	[{{fullurl:de:Lanhydrock_House}} Lanhydrock House]	95	2	[{{fullurl:en:Lanhydrock_House}} Lanhydrock House]	 [{{fullurl:wikidata:Q1805491}} Q1805491]
6	[[:es:|es]]	[{{fullurl:es:Museo_Regional_de_Guadalupe_(Zacatecas)}} Museo Regional de Guadalupe (Zacatecas)]	64	0	[{{fullurl:en:Guadalupe_regional_museum}} Guadalupe regional museum]	 [{{fullurl:wikidata:Q25414759}} Q25414759]
7	[[:nl:|nl]]	[{{fullurl:nl:Madame_Tussauds_Londen}} Madame Tussauds Londen]	57	1	[{{fullurl:en:Madame_Tussauds_London}} Madame Tussauds London]	 [{{fullurl:wikidata:Q2900180}} Q2900180]
8	[[:zh:|zh]]	[{{fullurl:zh:賽馬會氣候變化博物館}} 賽馬會氣候變化博物館]	42	0		 [{{fullurl:wikidata:Q11129330}} Q11129330]
9	[[:de:|de]]	[{{fullurl:de:Ägyptisches_Museum_der_Universität_Leipzig}} Ägyptisches Museum der Universität Leipzig]	36	1		 [{{fullurl:wikidata:Q254134}} Q254134]
11	[[:pt:|pt]]	[{{fullurl:pt:Edifício-sede_e_parque_da_Fundação_Calouste_Gulbenkian}} Edifício-sede e parque da Fundação Calouste Gulbenkian]	23	1	[{{fullurl:en:Foundation_Calouste_Gulbenkian}} Foundation Calouste Gulbenkian]	 [{{fullurl:wikidata:Q17390197}} Q17390197]
12	[[:nl:|nl]]	[{{fullurl:nl:Missiemuseum_Steyl}} Missiemuseum Steyl]	20	2	[{{fullurl:en:Missiemuseum_Steyl}} Missiemuseum Steyl]	 [{{fullurl:wikidata:Q2534749}} Q2534749]
