	Wiki	Title	Pageviews	Interwiki	English WD Label	WD Qitem
0	[[:it:|it]]	[{{fullurl:it:Vergine_delle_Rocce_(Londra)}} Vergine delle Rocce (Londra)]	591	2	[{{fullurl:en:Virgin_of_the_Rocks}} Virgin of the Rocks]	 [{{fullurl:wikidata:Q4009972}} Q4009972]
1	[[:it:|it]]	[{{fullurl:it:Tuttomondo}} Tuttomondo]	344	1	[{{fullurl:en:Tuttomondo}} Tuttomondo]	 [{{fullurl:wikidata:Q4000955}} Q4000955]
2	[[:it:|it]]	[{{fullurl:it:Autoritratto_da_soldato}} Autoritratto da soldato]	127	0	[{{fullurl:en:Self-portrait_as_a_Soldier}} Self-portrait as a Soldier]	 [{{fullurl:wikidata:Q24953623}} Q24953623]
3	[[:it:|it]]	[{{fullurl:it:La_vestizione_della_sposa}} La vestizione della sposa]	102	1		 [{{fullurl:wikidata:Q3210559}} Q3210559]
4	[[:de:|de]]	[{{fullurl:de:Die_Jungfrau_züchtigt_das_Jesuskind_vor_drei_Zeugen:_André_Breton,_Paul_Éluard_und_dem_Maler}} Die Jungfrau züchtigt das Jesuskind vor drei Zeugen: André Breton, Paul Éluard und dem Maler]	73	0	[{{fullurl:en:The_virgin_chasitsizes_the_child_Jesus_before_three_witnesses:_André_Breton,_Paul_Éluard_and_the_painter}} The virgin chasitsizes the child Jesus before three witnesses: André Breton, Paul Éluard and the painter]	 [{{fullurl:wikidata:Q1213696}} Q1213696]
5	[[:de:|de]]	[{{fullurl:de:1949-A-No._1}} 1949-A-No. 1]	66	0		 [{{fullurl:wikidata:Q20191228}} Q20191228]
6	[[:de:|de]]	[{{fullurl:de:Der_Hausengel_(Max_Ernst)}} Der Hausengel (Max Ernst)]	60	0		 [{{fullurl:wikidata:Q1194156}} Q1194156]
7	[[:es:|es]]	[{{fullurl:es:La_montaña_de_Sainte-Victoire,_vista_desde_Bibémus}} La montaña de Sainte-Victoire, vista desde Bibémus]	37	3	[{{fullurl:en:Mountains_Mont_Sainte-Victoire_Seen_from_the_Bibémus_Quarry}} Mountains Mont Sainte-Victoire Seen from the Bibémus Quarry]	 [{{fullurl:wikidata:Q682750}} Q682750]
8	[[:ru:|ru]]	[{{fullurl:ru:Портрет_Вари_Адоратской}} Портрет Вари Адоратской]	37	0	[{{fullurl:en:Portrait_of_Varya_Adoratskaya}} Portrait of Varya Adoratskaya]	 [{{fullurl:wikidata:Q60481787}} Q60481787]
9	[[:it:|it]]	[{{fullurl:it:Nudo_(Matisse)}} Nudo (Matisse)]	33	0	[{{fullurl:en:Pink_Nude}} Pink Nude]	 [{{fullurl:wikidata:Q3879257}} Q3879257]
