	Wiki	Title	Pageviews	Interwiki	Spanish WD Label	WD Qitem
1	[[:uk:|uk]]	[{{fullurl:uk:Fermín_IV}} Fermín IV]	1	53	[{{fullurl:es:Fermín_IV_Caballero_Elizondo}} Fermín IV Caballero Elizondo]	 [{{fullurl:wikidata:Q1406436}} Q1406436]
3	[[:zh:|zh]]	[{{fullurl:zh:亞瑟·鮑爾德}} 亞瑟·鮑爾德]	2	25	[{{fullurl:es:Artur_Balder}} Artur Balder]	 [{{fullurl:wikidata:Q59206}} Q59206]
5	[[:it:|it]]	[{{fullurl:it:Mounir_Fatmi}} Mounir Fatmi]	8	17	[{{fullurl:es:Mounir_Fatmi}} Mounir Fatmi]	 [{{fullurl:wikidata:Q947548}} Q947548]
6	[[:ru:|ru]]	[{{fullurl:ru:Леон,_Вильфредо}} Леон, Вильфредо]	140	16	[{{fullurl:es:Wilfredo_León_Venero}} Wilfredo León Venero]	 [{{fullurl:wikidata:Q2634633}} Q2634633]
7	[[:ru:|ru]]	[{{fullurl:ru:Архилагос,_Хоанис}} Архилагос, Хоанис]	21	15	[{{fullurl:es:Joahnys_Argilagos}} Joahnys Argilagos]	 [{{fullurl:wikidata:Q21511472}} Q21511472]
8	[[:pt:|pt]]	[{{fullurl:pt:Robertlandy_Simón}} Robertlandy Simón]	57	15	[{{fullurl:es:Robertlandy_Simón}} Robertlandy Simón]	 [{{fullurl:wikidata:Q2645150}} Q2645150]
9	[[:ru:|ru]]	[{{fullurl:ru:Франко,_Хуан_Карлос}} Франко, Хуан Карлос]	1	14	[{{fullurl:es:Juan_Carlos_Franco}} Juan Carlos Franco]	 [{{fullurl:wikidata:Q2302537}} Q2302537]
10	[[:ru:|ru]]	[{{fullurl:ru:Штерн,_Григорий_Михайлович}} Штерн, Григорий Михайлович]	304	14	[{{fullurl:es:Grigori_Shtern}} Grigori Shtern]	 [{{fullurl:wikidata:Q2391510}} Q2391510]
11	[[:ar:|ar]]	[{{fullurl:ar:وينسي_كاساريس}} وينسي كاساريس]	0	14	[{{fullurl:es:Wences_Casares}} Wences Casares]	 [{{fullurl:wikidata:Q7982301}} Q7982301]
12	[[:ru:|ru]]	[{{fullurl:ru:Эльгета,_Умберто}} Эльгета, Умберто]	2	14	[{{fullurl:es:Humberto_Elgueta}} Humberto Elgueta]	 [{{fullurl:wikidata:Q1367669}} Q1367669]
