	Wiki	Title	Pageviews	Interwiki	Javanese WD Label	WD Qitem
0	[[:id:|id]]	[{{fullurl:id:Dili}} Dili]	226	132		 [{{fullurl:wikidata:Q9310}} Q9310]
3	[[:id:|id]]	[{{fullurl:id:Laut_Timor}} Laut Timor]	26	77		 [{{fullurl:wikidata:Q131418}} Q131418]
4	[[:id:|id]]	[{{fullurl:id:Kepulauan_Sunda}} Kepulauan Sunda]	45	73		 [{{fullurl:wikidata:Q154190}} Q154190]
6	[[:id:|id]]	[{{fullurl:id:Kepulauan_Melayu}} Kepulauan Melayu]	51	68		 [{{fullurl:wikidata:Q208643}} Q208643]
8	[[:id:|id]]	[{{fullurl:id:Kepulauan_Ashmore_dan_Cartier}} Kepulauan Ashmore dan Cartier]	19	68		 [{{fullurl:wikidata:Q133888}} Q133888]
10	[[:id:|id]]	[{{fullurl:id:Kepulauan_Sunda_Besar}} Kepulauan Sunda Besar]	72	62		 [{{fullurl:wikidata:Q165481}} Q165481]
12	[[:ca:|ca]]	[{{fullurl:ca:Tàmils}} Tàmils]	4	62		 [{{fullurl:wikidata:Q173491}} Q173491]
16	[[:id:|id]]	[{{fullurl:id:Kalimantan_(wilayah_Indonesia)}} Kalimantan (wilayah Indonesia)]	155	61		 [{{fullurl:wikidata:Q3795}} Q3795]
17	[[:id:|id]]	[{{fullurl:id:Papua_(wilayah_Indonesia)}} Papua (wilayah Indonesia)]	314	58		 [{{fullurl:wikidata:Q3845}} Q3845]
19	[[:zh:|zh]]	[{{fullurl:zh:客家语}} 客家语]	440	58		 [{{fullurl:wikidata:Q33375}} Q33375]
22	[[:id:|id]]	[{{fullurl:id:Kepulauan_Nikobar}} Kepulauan Nikobar]	13	54		 [{{fullurl:wikidata:Q157286}} Q157286]
26	[[:id:|id]]	[{{fullurl:id:Langkawi}} Langkawi]	71	51		 [{{fullurl:wikidata:Q273303}} Q273303]
28	[[:id:|id]]	[{{fullurl:id:Tahun_tanpa_musim_panas}} Tahun tanpa musim panas]	14	43		 [{{fullurl:wikidata:Q209625}} Q209625]
30	[[:id:|id]]	[{{fullurl:id:Selat_Karimata}} Selat Karimata]	84	41		 [{{fullurl:wikidata:Q848645}} Q848645]
32	[[:id:|id]]	[{{fullurl:id:Warisan_Hutan_Hujan_Tropis_Sumatra}} Warisan Hutan Hujan Tropis Sumatra]	25	35		 [{{fullurl:wikidata:Q4521}} Q4521]
34	[[:id:|id]]	[{{fullurl:id:Lion_Air_Penerbangan_610}} Lion Air Penerbangan 610]	139	34		 [{{fullurl:wikidata:Q57912689}} Q57912689]
37	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_dan_tsunami_Sulawesi_2018}} Gempa bumi dan tsunami Sulawesi 2018]	574	33		 [{{fullurl:wikidata:Q56768333}} Q56768333]
39	[[:id:|id]]	[{{fullurl:id:Tsunami_Selat_Sunda_2018}} Tsunami Selat Sunda 2018]	476	32		 [{{fullurl:wikidata:Q60042839}} Q60042839]
41	[[:id:|id]]	[{{fullurl:id:Palung_Sunda}} Palung Sunda]	40	31		 [{{fullurl:wikidata:Q118394}} Q118394]
42	[[:id:|id]]	[{{fullurl:id:Adam_Air_Penerbangan_574}} Adam Air Penerbangan 574]	183	31		 [{{fullurl:wikidata:Q250439}} Q250439]
44	[[:id:|id]]	[{{fullurl:id:Semenanjung_Doberai}} Semenanjung Doberai]	4	31		 [{{fullurl:wikidata:Q646290}} Q646290]
46	[[:id:|id]]	[{{fullurl:id:Kesultanan_Sulu}} Kesultanan Sulu]	183	31		 [{{fullurl:wikidata:Q422065}} Q422065]
48	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_Sumatra_2012}} Gempa bumi Sumatra 2012]	17	30		 [{{fullurl:wikidata:Q383991}} Q383991]
50	[[:id:|id]]	[{{fullurl:id:Teori_bencana_Toba}} Teori bencana Toba]	47	30		 [{{fullurl:wikidata:Q1123218}} Q1123218]
52	[[:de:|de]]	[{{fullurl:de:Indonesischer_Unabhängigkeitskrieg}} Indonesischer Unabhängigkeitskrieg]	163	30		 [{{fullurl:wikidata:Q1332160}} Q1332160]
55	[[:id:|id]]	[{{fullurl:id:Sumber_daya_manusia}} Sumber daya manusia]	1122	30		 [{{fullurl:wikidata:Q5467169}} Q5467169]
56	[[:id:|id]]	[{{fullurl:id:Timor_Barat}} Timor Barat]	78	29		 [{{fullurl:wikidata:Q862471}} Q862471]
59	[[:id:|id]]	[{{fullurl:id:Bahasa_Jawa_Banyumasan}} Bahasa Jawa Banyumasan]	265	28	[{{fullurl:jv:Basa_Jawa_Banyumasan}} Basa Jawa Banyumasan]	 [{{fullurl:wikidata:Q33219}} Q33219]
60	[[:id:|id]]	[{{fullurl:id:Pertempuran_Laut_Jawa}} Pertempuran Laut Jawa]	197	28		 [{{fullurl:wikidata:Q263142}} Q263142]
63	[[:id:|id]]	[{{fullurl:id:Pulau_Wetar}} Pulau Wetar]	58	28		 [{{fullurl:wikidata:Q615657}} Q615657]
65	[[:id:|id]]	[{{fullurl:id:Nikobar_Besar}} Nikobar Besar]	3	27		 [{{fullurl:wikidata:Q219774}} Q219774]
66	[[:id:|id]]	[{{fullurl:id:Kota_Cilegon}} Kota Cilegon]	306	27		 [{{fullurl:wikidata:Q10124}} Q10124]
68	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_Yogyakarta_2006}} Gempa bumi Yogyakarta 2006]	532	27	[{{fullurl:jv:Gempa_bumi_Yogyakarta_2006}} Gempa bumi Yogyakarta 2006]	 [{{fullurl:wikidata:Q867691}} Q867691]
70	[[:id:|id]]	[{{fullurl:id:Fretilin}} Fretilin]	124	27		 [{{fullurl:wikidata:Q935996}} Q935996]
76	[[:id:|id]]	[{{fullurl:id:Pegunungan_Bukit_Barisan}} Pegunungan Bukit Barisan]	155	25		 [{{fullurl:wikidata:Q649051}} Q649051]
80	[[:id:|id]]	[{{fullurl:id:Pulau_Misool}} Pulau Misool]	32	25	[{{fullurl:jv:Misool,_Raja_Ampat}} Misool, Raja Ampat]	 [{{fullurl:wikidata:Q1326456}} Q1326456]
83	[[:th:|th]]	[{{fullurl:th:อินโดนีเซียแอร์เอเชีย}} อินโดนีเซียแอร์เอเชีย]	9	25		 [{{fullurl:wikidata:Q745971}} Q745971]
86	[[:id:|id]]	[{{fullurl:id:Merry_Christmas,_Mr._Lawrence}} Merry Christmas, Mr. Lawrence]	3	25		 [{{fullurl:wikidata:Q696855}} Q696855]
88	[[:id:|id]]	[{{fullurl:id:Singaraja_(kota)}} Singaraja (kota)]	111	24		 [{{fullurl:wikidata:Q1013537}} Q1013537]
90	[[:id:|id]]	[{{fullurl:id:Kepulauan_Tanimbar}} Kepulauan Tanimbar]	65	24		 [{{fullurl:wikidata:Q913624}} Q913624]
91	[[:id:|id]]	[{{fullurl:id:Sofifi,_Oba_Utara,_Tidore_Kepulauan}} Sofifi, Oba Utara, Tidore Kepulauan]	74	24		 [{{fullurl:wikidata:Q1350702}} Q1350702]
94	[[:id:|id]]	[{{fullurl:id:Serangan_Jakarta_2016}} Serangan Jakarta 2016]	278	23		 [{{fullurl:wikidata:Q22067779}} Q22067779]
96	[[:id:|id]]	[{{fullurl:id:British_Airways_Penerbangan_9}} British Airways Penerbangan 9]	17	23		 [{{fullurl:wikidata:Q435605}} Q435605]
98	[[:it:|it]]	[{{fullurl:it:Blackhat_(film)}} Blackhat (film)]	198	23		 [{{fullurl:wikidata:Q13424932}} Q13424932]
99	[[:id:|id]]	[{{fullurl:id:Pulau_Pantar}} Pulau Pantar]	19	22		 [{{fullurl:wikidata:Q974980}} Q974980]
100	[[:ml:|ml]]	[{{fullurl:ml:ബക്കാൻ_ദ്വീപുകൾ}} ബക്കാൻ ദ്വീപുകൾ]	0	22		 [{{fullurl:wikidata:Q798019}} Q798019]
