	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Kannada WD Label	WD Qitem
0	[[:ta:|ta]]	[{{fullurl:ta:உமையாள்புரம்_கே._சிவராமன்}} உமையாள்புரம் கே. சிவராமன்]	1	6	64		 [{{fullurl:wikidata:Q3108773}} Q3108773]
1	[[:ta:|ta]]	[{{fullurl:ta:எம்._எஸ்._கோபாலகிருஷ்ணன்}} எம். எஸ். கோபாலகிருஷ்ணன்]	1	5	53		 [{{fullurl:wikidata:Q2562220}} Q2562220]
2	[[:ta:|ta]]	[{{fullurl:ta:எஸ்._ஆர்._ஸ்ரீனிவாச_வரதன்}} எஸ். ஆர். ஸ்ரீனிவாச வரதன்]	0	24	40		 [{{fullurl:wikidata:Q370247}} Q370247]
3	[[:ta:|ta]]	[{{fullurl:ta:டி._என்._சேசகோபாலன்}} டி. என். சேசகோபாலன்]	1	2	40		 [{{fullurl:wikidata:Q7668541}} Q7668541]
4	[[:ta:|ta]]	[{{fullurl:ta:பாபநாசம்_சிவன்}} பாபநாசம் சிவன்]	16	3	37		 [{{fullurl:wikidata:Q117881}} Q117881]
5	[[:ta:|ta]]	[{{fullurl:ta:ஆரோக்கியசாமி_பவுல்ராஜ்}} ஆரோக்கியசாமி பவுல்ராஜ்]	0	5	36		 [{{fullurl:wikidata:Q4795479}} Q4795479]
6	[[:ta:|ta]]	[{{fullurl:ta:நா._மகாலிங்கம்}} நா. மகாலிங்கம்]	16	2	36		 [{{fullurl:wikidata:Q6951719}} Q6951719]
7	[[:ta:|ta]]	[{{fullurl:ta:சுவாமி_தயானந்த_சரசுவதி}} சுவாமி தயானந்த சரசுவதி]	9	2	36		 [{{fullurl:wikidata:Q5243052}} Q5243052]
8	[[:ta:|ta]]	[{{fullurl:ta:சுப்பிரமணியம்_சீனிவாசன்}} சுப்பிரமணியம் சீனிவாசன்]	6	1	36		 [{{fullurl:wikidata:Q7387872}} Q7387872]
9	[[:id:|id]]	[{{fullurl:id:P._B._Gajendragadkar}} P. B. Gajendragadkar]	0	3	33	[{{fullurl:kn:ಪಿ._ಬಿ._ಗಜೇಂದ್ರಗಡ್ಕರ್}} ಪಿ. ಬಿ. ಗಜೇಂದ್ರಗಡ್ಕರ್]	 [{{fullurl:wikidata:Q7117136}} Q7117136]
