	Wiki	Title	Pageviews	Interwiki	Marathi WD Label	WD Qitem
0	[[:en:|en]]	[{{fullurl:en:Old_Goa}} Old Goa]	404	51		 [{{fullurl:wikidata:Q553907}} Q553907]
3	[[:en:|en]]	[{{fullurl:en:Mission:_Impossible_–_Ghost_Protocol}} Mission: Impossible – Ghost Protocol]	5950	43		 [{{fullurl:wikidata:Q628154}} Q628154]
5	[[:en:|en]]	[{{fullurl:en:Ulhasnagar}} Ulhasnagar]	351	39	[{{fullurl:mr:उल्हासनगर}} उल्हासनगर]	 [{{fullurl:wikidata:Q460222}} Q460222]
9	[[:en:|en]]	[{{fullurl:en:Madanapalle}} Madanapalle]	505	31		 [{{fullurl:wikidata:Q1017723}} Q1017723]
11	[[:en:|en]]	[{{fullurl:en:The_Best_Exotic_Marigold_Hotel}} The Best Exotic Marigold Hotel]	1674	30		 [{{fullurl:wikidata:Q830295}} Q830295]
13	[[:en:|en]]	[{{fullurl:en:Golkonda}} Golkonda]	2181	28		 [{{fullurl:wikidata:Q4141623}} Q4141623]
14	[[:en:|en]]	[{{fullurl:en:Western_India}} Western India]	1421	27		 [{{fullurl:wikidata:Q1151567}} Q1151567]
17	[[:en:|en]]	[{{fullurl:en:Chitrakoot,_Madhya_Pradesh}} Chitrakoot, Madhya Pradesh]	860	27		 [{{fullurl:wikidata:Q1192410}} Q1192410]
19	[[:en:|en]]	[{{fullurl:en:Air_India_Flight_182}} Air India Flight 182]	2319	26		 [{{fullurl:wikidata:Q406588}} Q406588]
22	[[:en:|en]]	[{{fullurl:en:Bangalore_Urban_district}} Bangalore Urban district]	524	25		 [{{fullurl:wikidata:Q806463}} Q806463]
24	[[:en:|en]]	[{{fullurl:en:Srikalahasti}} Srikalahasti]	587	24		 [{{fullurl:wikidata:Q1772763}} Q1772763]
27	[[:en:|en]]	[{{fullurl:en:Kanker,_Chhattisgarh}} Kanker, Chhattisgarh]	37	24		 [{{fullurl:wikidata:Q609848}} Q609848]
30	[[:hi:|hi]]	[{{fullurl:hi:रामनगर,_कर्नाटक}} रामनगर, कर्नाटक]	0	24		 [{{fullurl:wikidata:Q13371953}} Q13371953]
31	[[:en:|en]]	[{{fullurl:en:Moodabidri}} Moodabidri]	223	24		 [{{fullurl:wikidata:Q1949058}} Q1949058]
35	[[:hi:|hi]]	[{{fullurl:hi:कोंकण}} कोंकण]	100	24	[{{fullurl:mr:कोकण_विभाग}} कोकण विभाग]	 [{{fullurl:wikidata:Q1142402}} Q1142402]
37	[[:en:|en]]	[{{fullurl:en:Bhadrachalam}} Bhadrachalam]	444	24		 [{{fullurl:wikidata:Q759204}} Q759204]
39	[[:en:|en]]	[{{fullurl:en:Amalapuram}} Amalapuram]	231	23		 [{{fullurl:wikidata:Q588625}} Q588625]
