	Wiki	Title	Pageviews	Interwiki	Odia WD Label	WD Qitem
0	[[:bn:|bn]]	[{{fullurl:bn:কাজী_নজরুল_ইসলাম}} কাজী নজরুল ইসলাম]	3373	36		 [{{fullurl:wikidata:Q334818}} Q334818]
1	[[:bn:|bn]]	[{{fullurl:bn:ঈশ্বরচন্দ্র_বিদ্যাসাগর}} ঈশ্বরচন্দ্র বিদ্যাসাগর]	1365	19		 [{{fullurl:wikidata:Q964111}} Q964111]
2	[[:te:|te]]	[{{fullurl:te:వై.ఎస్._జగన్మోహన్_రెడ్డి}} వై.ఎస్. జగన్మోహన్ రెడ్డి]	1100	6		 [{{fullurl:wikidata:Q3531971}} Q3531971]
3	[[:hi:|hi]]	[{{fullurl:hi:संबित_पात्रा}} संबित पात्रा]	780	5	[{{fullurl:or:ସମ୍ବିତ_ପାତ୍ର}} ସମ୍ବିତ ପାତ୍ର]	 [{{fullurl:wikidata:Q18226273}} Q18226273]
4	[[:te:|te]]	[{{fullurl:te:వై.యస్._రాజశేఖరరెడ్డి}} వై.యస్. రాజశేఖరరెడ్డి]	640	13		 [{{fullurl:wikidata:Q2063696}} Q2063696]
5	[[:bn:|bn]]	[{{fullurl:bn:দেব_(অভিনেতা)}} দেব (অভিনেতা)]	634	6	[{{fullurl:or:ଦେବ୍}} ଦେବ୍]	 [{{fullurl:wikidata:Q5266378}} Q5266378]
6	[[:bn:|bn]]	[{{fullurl:bn:জিৎ_(অভিনেতা)}} জিৎ (অভিনেতা)]	497	6	[{{fullurl:or:ଜିତ}} ଜିତ]	 [{{fullurl:wikidata:Q5299396}} Q5299396]
7	[[:bn:|bn]]	[{{fullurl:bn:শরৎচন্দ্র_চট্টোপাধ্যায়}} শরৎচন্দ্র চট্টোপাধ্যায়]	481	23	[{{fullurl:or:ଶରତ_ଚନ୍ଦ୍ର_ଚଟ୍ଟୋପାଧ୍ୟାୟ}} ଶରତ ଚନ୍ଦ୍ର ଚଟ୍ଟୋପାଧ୍ୟାୟ]	 [{{fullurl:wikidata:Q404622}} Q404622]
8	[[:en:|en]]	[{{fullurl:en:Ghantasala_(singer)}} Ghantasala (singer)]	473	9	[{{fullurl:or:ଘଣ୍ଟଶଳା_ଭେଙ୍କଟେଶ୍ୱର_ରାଓ}} ଘଣ୍ଟଶଳା ଭେଙ୍କଟେଶ୍ୱର ରାଓ]	 [{{fullurl:wikidata:Q3429974}} Q3429974]
9	[[:te:|te]]	[{{fullurl:te:నందమూరి_తారక_రామారావు}} నందమూరి తారక రామారావు]	467	19	[{{fullurl:or:ଏନ__ଟି_ରାମା_ରାଓ}} ଏନ  ଟି ରାମା ରାଓ]	 [{{fullurl:wikidata:Q2646553}} Q2646553]
