	Wiki	Title	Pageviews	Interwiki	Odia WD Label	WD Qitem
0	[[:ru:|ru]]	[{{fullurl:ru:Вивьен_Ли}} Вивьен Ли]	1344	87		 [{{fullurl:wikidata:Q129429}} Q129429]
1	[[:vi:|vi]]	[{{fullurl:vi:Julie_Christie}} Julie Christie]	3	58		 [{{fullurl:wikidata:Q181413}} Q181413]
2	[[:he:|he]]	[{{fullurl:he:גיאטרי_צ'קרוורטי_ספיבק}} גיאטרי צ'קרוורטי ספיבק]	4	36		 [{{fullurl:wikidata:Q240851}} Q240851]
3	[[:de:|de]]	[{{fullurl:de:Julia_Margaret_Cameron}} Julia Margaret Cameron]	44	34		 [{{fullurl:wikidata:Q230120}} Q230120]
4	[[:ru:|ru]]	[{{fullurl:ru:Тагор,_Шармила}} Тагор, Шармила]	51	30	[{{fullurl:or:ଶର୍ମିଳା_ଟାଗୋର}} ଶର୍ମିଳା ଟାଗୋର]	 [{{fullurl:wikidata:Q465830}} Q465830]
5	[[:ta:|ta]]	[{{fullurl:ta:நிர்மலா_ஜோஷி}} நிர்மலா ஜோஷி]	3	24		 [{{fullurl:wikidata:Q2586973}} Q2586973]
6	[[:bn:|bn]]	[{{fullurl:bn:দেবিকা_রাণী}} দেবিকা রাণী]	19	24	[{{fullurl:or:ଦେବିକା_ରାଣୀ}} ଦେବିକା ରାଣୀ]	 [{{fullurl:wikidata:Q465060}} Q465060]
7	[[:kn:|kn]]	[{{fullurl:kn:ಅಪರ್ಣಾ_ಸೇನ್}} ಅಪರ್ಣಾ ಸೇನ್]	0	21	[{{fullurl:or:ଅପର୍ଣ୍ଣା_ସେନ}} ଅପର୍ଣ୍ଣା ସେନ]	 [{{fullurl:wikidata:Q466325}} Q466325]
8	[[:as:|as]]	[{{fullurl:as:সীমা_বিশ্বাস}} সীমা বিশ্বাস]	2	20	[{{fullurl:or:ସୀମା_ବିଶ୍ଵାସ}} ସୀମା ବିଶ୍ଵାସ]	 [{{fullurl:wikidata:Q2576856}} Q2576856]
9	[[:de:|de]]	[{{fullurl:de:Margaret_Alice_Murray}} Margaret Alice Murray]	11	19		 [{{fullurl:wikidata:Q242542}} Q242542]
10	[[:ru:|ru]]	[{{fullurl:ru:Гулзар,_Ракхи}} Гулзар, Ракхи]	41	19	[{{fullurl:or:ରାଖୀ_ଗୁଲଜାର}} ରାଖୀ ଗୁଲଜାର]	 [{{fullurl:wikidata:Q3196775}} Q3196775]
