	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Sundanese WD Label	WD Qitem
0	[[:jv:|jv]]	[{{fullurl:jv:Kabupatèn_Wanagiri}} Kabupatèn Wanagiri]	0	10	497	[{{fullurl:su:Wonogiri}} Wonogiri]	 [{{fullurl:wikidata:Q10981}} Q10981]
1	[[:id:|id]]	[{{fullurl:id:Stasiun_Kutoarjo}} Stasiun Kutoarjo]	367	4	77		 [{{fullurl:wikidata:Q658087}} Q658087]
2	[[:id:|id]]	[{{fullurl:id:Laut_Jawa}} Laut Jawa]	160	82	63		 [{{fullurl:wikidata:Q49364}} Q49364]
3	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kejobong,_Purbalingga}} Kejobong, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201131}} Q4201131]
4	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Karangreja,_Purbalingga}} Karangreja, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201109}} Q4201109]
5	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Pengadegan,_Purbalingga}} Pengadegan, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201268}} Q4201268]
6	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Rembang,_Purbalingga}} Rembang, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201467}} Q4201467]
7	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kertanegara,_Purbalingga}} Kertanegara, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201168}} Q4201168]
8	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Mrebet,_Purbalingga}} Mrebet, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201225}} Q4201225]
9	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kalimanah,_Purbalingga}} Kalimanah, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201040}} Q4201040]
10	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kemangkon,_Purbalingga}} Kemangkon, Purbalingga]	0	3	58		 [{{fullurl:wikidata:Q4201149}} Q4201149]
11	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Karangjambu,_Purbalingga}} Karangjambu, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201077}} Q4201077]
12	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Karangmoncol,_Purbalingga}} Karangmoncol, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201092}} Q4201092]
13	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kaligondang,_Purbalingga}} Kaligondang, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201013}} Q4201013]
15	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kutasari,_Purbalingga}} Kutasari, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q4201193}} Q4201193]
16	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Padamara,_Purbalingga}} Padamara, Purbalingga]	0	2	58		 [{{fullurl:wikidata:Q13095589}} Q13095589]
32	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Cepu,_Blora}} Cepu, Blora]	0	5	45		 [{{fullurl:wikidata:Q2281404}} Q2281404]
33	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Kradenan,_Blora}} Kradenan, Blora]	0	2	45		 [{{fullurl:wikidata:Q3690884}} Q3690884]
34	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Ngawen,_Blora}} Ngawen, Blora]	0	2	45		 [{{fullurl:wikidata:Q3690899}} Q3690899]
35	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Jati,_Blora}} Jati, Blora]	0	2	45		 [{{fullurl:wikidata:Q3690853}} Q3690853]
36	[[:map_bms:|map_bms]]	[{{fullurl:map_bms:Todanan,_Blora}} Todanan, Blora]	0	2	45		 [{{fullurl:wikidata:Q3690911}} Q3690911]
