	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Telugu WD Label	WD Qitem
0	[[:new:|new]]	[{{fullurl:new:हिंदूपुरम्_मण्डल,_अनन्तपुर_जिल्ला}} हिंदूपुरम् मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25560134}} Q25560134]
1	[[:new:|new]]	[{{fullurl:new:आत्मकूरु_मण्डल,_अनन्तपुर_जिल्ला}} आत्मकूरु मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q12914803}} Q12914803]
2	[[:new:|new]]	[{{fullurl:new:कल्याणदुर्गम्_मण्डल,_अनन्तपुर_जिल्ला}} कल्याणदुर्गम् मण्डल, अनन्तपुर जिल्ला]	0	0	823	[{{fullurl:te:కల్యాణదుర్గం}} కల్యాణదుర్గం]	 [{{fullurl:wikidata:Q11106126}} Q11106126]
3	[[:new:|new]]	[{{fullurl:new:गुत्ति_मण्डल,_अनन्तपुर_जिल्ला}} गुत्ति मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25559646}} Q25559646]
4	[[:new:|new]]	[{{fullurl:new:गुंतकल्लु_मण्डल,_अनन्तपुर_जिल्ला}} गुंतकल्लु मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25559645}} Q25559645]
5	[[:new:|new]]	[{{fullurl:new:धर्मवरम्_मण्डल,_अनन्तपुर_जिल्ला}} धर्मवरम् मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25560139}} Q25560139]
6	[[:new:|new]]	[{{fullurl:new:डि.हीरेहाल्_मण्डल,_अनन्तपुर_जिल्ला}} डि.हीरेहाल् मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25559643}} Q25559643]
7	[[:new:|new]]	[{{fullurl:new:यल्लनूरु_मण्डल,_अनन्तपुर_जिल्ला}} यल्लनूरु मण्डल, अनन्तपुर जिल्ला]	0	0	823		 [{{fullurl:wikidata:Q25559648}} Q25559648]
8	[[:en:|en]]	[{{fullurl:en:Aditya_Music}} Aditya Music]	137	1	348		 [{{fullurl:wikidata:Q4683077}} Q4683077]
9	[[:en:|en]]	[{{fullurl:en:Andhra_Pradesh_Legislative_Assembly}} Andhra Pradesh Legislative Assembly]	8270	3	276		 [{{fullurl:wikidata:Q16915317}} Q16915317]
10	[[:en:|en]]	[{{fullurl:en:Madras_Presidency}} Madras Presidency]	1338	19	265	[{{fullurl:te:మద్రాస్_ప్రెసిడెన్సి}} మద్రాస్ ప్రెసిడెన్సి]	 [{{fullurl:wikidata:Q1772596}} Q1772596]
11	[[:en:|en]]	[{{fullurl:en:Rediff.com}} Rediff.com]	1522	6	205		 [{{fullurl:wikidata:Q140676}} Q140676]
12	[[:en:|en]]	[{{fullurl:en:The_New_Indian_Express}} The New Indian Express]	640	5	194		 [{{fullurl:wikidata:Q1955025}} Q1955025]
13	[[:en:|en]]	[{{fullurl:en:Southern_Railway_zone}} Southern Railway zone]	546	5	189	[{{fullurl:te:దక్షిణ_రైల్వే_జోన్}} దక్షిణ రైల్వే జోన్]	 [{{fullurl:wikidata:Q3276096}} Q3276096]
14	[[:en:|en]]	[{{fullurl:en:List_of_villages_in_Guntur_district}} List of villages in Guntur district]	355	0	181		 [{{fullurl:wikidata:Q17069841}} Q17069841]
15	[[:en:|en]]	[{{fullurl:en:Nellimarla_(Assembly_constituency)}} Nellimarla (Assembly constituency)]	187	1	176		 [{{fullurl:wikidata:Q6990177}} Q6990177]
16	[[:en:|en]]	[{{fullurl:en:Gannavaram_(SC)_(Assembly_constituency)}} Gannavaram (SC) (Assembly constituency)]	601	1	175		 [{{fullurl:wikidata:Q5521413}} Q5521413]
17	[[:en:|en]]	[{{fullurl:en:Sify}} Sify]	363	3	171		 [{{fullurl:wikidata:Q4111575}} Q4111575]
18	[[:en:|en]]	[{{fullurl:en:Tirupati_railway_station}} Tirupati railway station]	182	6	143		 [{{fullurl:wikidata:Q7809387}} Q7809387]
19	[[:en:|en]]	[{{fullurl:en:Tirupati_West_Halt_railway_station}} Tirupati West Halt railway station]	11	0	134		 [{{fullurl:wikidata:Q24927993}} Q24927993]
20	[[:en:|en]]	[{{fullurl:en:Guntur_revenue_division}} Guntur revenue division]	44	0	129	[{{fullurl:te:గుంటూరు_రెవిన్యూ_డివిజను}} గుంటూరు రెవిన్యూ డివిజను]	 [{{fullurl:wikidata:Q19891651}} Q19891651]
21	[[:en:|en]]	[{{fullurl:en:Eluru_railway_station}} Eluru railway station]	41	2	127	[{{fullurl:te:ఏలూరు_రైల్వే_స్టేషన్}} ఏలూరు రైల్వే స్టేషన్]	 [{{fullurl:wikidata:Q5367926}} Q5367926]
