	Wiki	Title	Pageviews	Interwiki	English WD Label	WD Qitem
2	[[:zh:|zh]]	[{{fullurl:zh:帝國戰爭博物館貝爾法斯特號館}} 帝國戰爭博物館貝爾法斯特號館]	62	29	[{{fullurl:en:HMS_Belfast}} HMS Belfast]	 [{{fullurl:wikidata:Q757178}} Q757178]
5	[[:zh:|zh]]	[{{fullurl:zh:宿霧島}} 宿霧島]	53	27	[{{fullurl:en:Cebu}} Cebu]	 [{{fullurl:wikidata:Q6447129}} Q6447129]
6	[[:zh:|zh]]	[{{fullurl:zh:瓦朗加爾縣}} 瓦朗加爾縣]	1	26	[{{fullurl:en:Warangal_District}} Warangal District]	 [{{fullurl:wikidata:Q15399}} Q15399]
10	[[:zh:|zh]]	[{{fullurl:zh:馬托博}} 馬托博]	2	23	[{{fullurl:en:Matobo_Hills}} Matobo Hills]	 [{{fullurl:wikidata:Q917429}} Q917429]
11	[[:zh:|zh]]	[{{fullurl:zh:阿南巴斯群島}} 阿南巴斯群島]	13	22	[{{fullurl:en:Kepulauan_Anambas}} Kepulauan Anambas]	 [{{fullurl:wikidata:Q10096}} Q10096]
20	[[:ka:|ka]]	[{{fullurl:ka:კიგალის_პროვინცია}} კიგალის პროვინცია]	0	19	[{{fullurl:en:Kigali_district}} Kigali district]	 [{{fullurl:wikidata:Q167196}} Q167196]
31	[[:zh:|zh]]	[{{fullurl:zh:牛津圆环}} 牛津圆环]	3	17	[{{fullurl:en:Oxford_Circus}} Oxford Circus]	 [{{fullurl:wikidata:Q1996213}} Q1996213]
32	[[:zh:|zh]]	[{{fullurl:zh:奈洛比省}} 奈洛比省]	2	17	[{{fullurl:en:Nairobi}} Nairobi]	 [{{fullurl:wikidata:Q1061480}} Q1061480]
33	[[:zh:|zh]]	[{{fullurl:zh:皮特肯島}} 皮特肯島]	0	17	[{{fullurl:en:Pitcairn_Island}} Pitcairn Island]	 [{{fullurl:wikidata:Q1779748}} Q1779748]
39	[[:zh:|zh]]	[{{fullurl:zh:佛罗里达半岛}} 佛罗里达半岛]	9	16	[{{fullurl:en:Florida_Peninsula}} Florida Peninsula]	 [{{fullurl:wikidata:Q2661894}} Q2661894]
40	[[:zh:|zh]]	[{{fullurl:zh:新赫布里底群島}} 新赫布里底群島]	5	16	[{{fullurl:en:New_Hebrides}} New Hebrides]	 [{{fullurl:wikidata:Q19399831}} Q19399831]
41	[[:el:|el]]	[{{fullurl:el:519_(αριθμός)}} 519 (αριθμός)]	0	16	[{{fullurl:en:519}} 519]	 [{{fullurl:wikidata:Q919195}} Q919195]
50	[[:zh:|zh]]	[{{fullurl:zh:馬里恩島}} 馬里恩島]	0	15	[{{fullurl:en:Marion_Island}} Marion Island]	 [{{fullurl:wikidata:Q2116298}} Q2116298]
51	[[:uk:|uk]]	[{{fullurl:uk:Фіджі_(море)}} Фіджі (море)]	5	15		 [{{fullurl:wikidata:Q2355931}} Q2355931]
52	[[:de:|de]]	[{{fullurl:de:Two_International_Finance_Centre}} Two International Finance Centre]	36	15	[{{fullurl:en:Two_International_Finance_Centre}} Two International Finance Centre]	 [{{fullurl:wikidata:Q14226100}} Q14226100]
55	[[:ja:|ja]]	[{{fullurl:ja:ランドールズ島とワーズ島}} ランドールズ島とワーズ島]	5	15	[{{fullurl:en:Randalls_Island}} Randalls Island]	 [{{fullurl:wikidata:Q1198892}} Q1198892]
61	[[:es:|es]]	[{{fullurl:es:Parque_nacional_Snowdonia}} Parque nacional Snowdonia]	40	14	[{{fullurl:en:Snowdonia_National_Park}} Snowdonia National Park]	 [{{fullurl:wikidata:Q20888920}} Q20888920]
63	[[:pl:|pl]]	[{{fullurl:pl:Wyspy_Maltańskie}} Wyspy Maltańskie]	61	14	[{{fullurl:en:Maltese_Islands}} Maltese Islands]	 [{{fullurl:wikidata:Q3803158}} Q3803158]
64	[[:uk:|uk]]	[{{fullurl:uk:Республіка_Мінерва}} Республіка Мінерва]	2	14	[{{fullurl:en:Republic_of_Minerva}} Republic of Minerva]	 [{{fullurl:wikidata:Q587677}} Q587677]
66	[[:de:|de]]	[{{fullurl:de:Caesars_Palace_Grand_Prix_Circuit}} Caesars Palace Grand Prix Circuit]	36	14	[{{fullurl:en:Caesars_Palace_Circuit}} Caesars Palace Circuit]	 [{{fullurl:wikidata:Q786639}} Q786639]
68	[[:zh:|zh]]	[{{fullurl:zh:索姆佩塔}} 索姆佩塔]	0	13	[{{fullurl:en:Sompeta_mandal}} Sompeta mandal]	 [{{fullurl:wikidata:Q2229065}} Q2229065]
77	[[:zh:|zh]]	[{{fullurl:zh:科羅爾島}} 科羅爾島]	1	13	[{{fullurl:en:Koror}} Koror]	 [{{fullurl:wikidata:Q1784668}} Q1784668]
79	[[:es:|es]]	[{{fullurl:es:Montreal_(región_administrativa)}} Montreal (región administrativa)]	8	13	[{{fullurl:en:Montreal_Region}} Montreal Region]	 [{{fullurl:wikidata:Q1474984}} Q1474984]
80	[[:vi:|vi]]	[{{fullurl:vi:Tây_Luân_Đôn_(tiểu_vùng)}} Tây Luân Đôn (tiểu vùng)]	0	13	[{{fullurl:en:West_London}} West London]	 [{{fullurl:wikidata:Q2734390}} Q2734390]
81	[[:ca:|ca]]	[{{fullurl:ca:Castell_d'Eilean_Donan}} Castell d'Eilean Donan]	4	13	[{{fullurl:en:Eilean_Donan_Castle}} Eilean Donan Castle]	 [{{fullurl:wikidata:Q20816698}} Q20816698]
82	[[:es:|es]]	[{{fullurl:es:Idioma_akawayo}} Idioma akawayo]	30	13	[{{fullurl:en:Akawaio_language}} Akawaio language]	 [{{fullurl:wikidata:Q28059}} Q28059]
83	[[:uk:|uk]]	[{{fullurl:uk:Список_об'єктів_Світової_спадщини_ЮНЕСКО_у_Намібії}} Список об'єктів Світової спадщини ЮНЕСКО у Намібії]	0	13	[{{fullurl:en:list_of_World_Heritage_Sites_in_Namibia}} list of World Heritage Sites in Namibia]	 [{{fullurl:wikidata:Q4435438}} Q4435438]
84	[[:de:|de]]	[{{fullurl:de:Wards_Island}} Wards Island]	10	13	[{{fullurl:en:Wards_Island}} Wards Island]	 [{{fullurl:wikidata:Q1199913}} Q1199913]
85	[[:de:|de]]	[{{fullurl:de:Dallas_Fair_Park_Grand_Prix_Circuit}} Dallas Fair Park Grand Prix Circuit]	20	13	[{{fullurl:en:Dallas_Grand_Prix_Circuit}} Dallas Grand Prix Circuit]	 [{{fullurl:wikidata:Q16040264}} Q16040264]
92	[[:zh:|zh]]	[{{fullurl:zh:阿赫马德普尔}} 阿赫马德普尔]	0	12	[{{fullurl:en:Ahmadpur}} Ahmadpur]	 [{{fullurl:wikidata:Q590521}} Q590521]
94	[[:zh:|zh]]	[{{fullurl:zh:丰盛湾}} 丰盛湾]	2	12	[{{fullurl:en:Bay_of_Plenty}} Bay of Plenty]	 [{{fullurl:wikidata:Q140290}} Q140290]
99	[[:zh:|zh]]	[{{fullurl:zh:伊丽莎白二世女王大桥}} 伊丽莎白二世女王大桥]	1	11	[{{fullurl:en:Queen_Elizabeth_II_Bridge}} Queen Elizabeth II Bridge]	 [{{fullurl:wikidata:Q179481}} Q179481]
117	[[:es:|es]]	[{{fullurl:es:Circuito_callejero_de_Long_Beach}} Circuito callejero de Long Beach]	39	11	[{{fullurl:en:Long_Beach_Street_Circuit}} Long Beach Street Circuit]	 [{{fullurl:wikidata:Q173889}} Q173889]
119	[[:ceb:|ceb]]	[{{fullurl:ceb:District_of_Columbia}} District of Columbia]	0	11	[{{fullurl:en:District_of_Columbia}} District of Columbia]	 [{{fullurl:wikidata:Q3551781}} Q3551781]
130	[[:zh:|zh]]	[{{fullurl:zh:普洛安娜島}} 普洛安娜島]	0	10		 [{{fullurl:wikidata:Q2118012}} Q2118012]
132	[[:zh:|zh]]	[{{fullurl:zh:愛德華王子島_(南非)}} 愛德華王子島 (南非)]	1	10	[{{fullurl:en:Prince_Edward_Island}} Prince Edward Island]	 [{{fullurl:wikidata:Q1812195}} Q1812195]
