	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Spanish WD Label	WD Qitem
2	[[:qu:|qu]]	[{{fullurl:qu:Awkillu_urqu}} Awkillu urqu]	0	2	426	[{{fullurl:es:Auxilio}} Auxilio]	 [{{fullurl:wikidata:Q13189193}} Q13189193]
3	[[:qu:|qu]]	[{{fullurl:qu:Pumanuta}} Pumanuta]	0	2	339	[{{fullurl:es:Pomanota}} Pomanota]	 [{{fullurl:wikidata:Q13190358}} Q13190358]
4	[[:qu:|qu]]	[{{fullurl:qu:Quri_urqu}} Quri urqu]	0	2	320		 [{{fullurl:wikidata:Q17782749}} Q17782749]
5	[[:qu:|qu]]	[{{fullurl:qu:Qullqip'ukru}} Qullqip'ukru]	0	2	319	[{{fullurl:es:Colquepucro}} Colquepucro]	 [{{fullurl:wikidata:Q13190497}} Q13190497]
6	[[:qu:|qu]]	[{{fullurl:qu:Wayrakancha}} Wayrakancha]	0	2	318		 [{{fullurl:wikidata:Q13191231}} Q13191231]
7	[[:qu:|qu]]	[{{fullurl:qu:Kashpi_rasu}} Kashpi rasu]	0	2	318		 [{{fullurl:wikidata:Q13189757}} Q13189757]
8	[[:qu:|qu]]	[{{fullurl:qu:Suyruqucha_rit'i_urqu_(Paryaqaqa)}} Suyruqucha rit'i urqu (Paryaqaqa)]	0	2	318		 [{{fullurl:wikidata:Q13190886}} Q13190886]
9	[[:qu:|qu]]	[{{fullurl:qu:Pukaqucha_rit'i_urqu}} Pukaqucha rit'i urqu]	0	2	318		 [{{fullurl:wikidata:Q19412386}} Q19412386]
10	[[:qu:|qu]]	[{{fullurl:qu:Chunta_rit'i_urqu}} Chunta rit'i urqu]	0	2	318		 [{{fullurl:wikidata:Q19849783}} Q19849783]
11	[[:qu:|qu]]	[{{fullurl:qu:Panchakutu}} Panchakutu]	0	2	317		 [{{fullurl:wikidata:Q17681460}} Q17681460]
