	Wiki	Title	Pageviews	Interwiki	Indonesian WD Label	WD Qitem
0	[[:ceb:|ceb]]	[{{fullurl:ceb:Mamuju_(kapital_sa_lalawigan_sa_Indonesya)}} Mamuju (kapital sa lalawigan sa Indonesya)]	0	33	[{{fullurl:id:Mamuju}} Mamuju]	 [{{fullurl:wikidata:Q1070920}} Q1070920]
1	[[:ceb:|ceb]]	[{{fullurl:ceb:Pulau_Morotai}} Pulau Morotai]	0	28	[{{fullurl:id:Morotai}} Morotai]	 [{{fullurl:wikidata:Q19146}} Q19146]
3	[[:ml:|ml]]	[{{fullurl:ml:ബക്കാൻ_ദ്വീപുകൾ}} ബക്കാൻ ദ്വീപുകൾ]	0	22	[{{fullurl:id:Kepulauan_Bacan}} Kepulauan Bacan]	 [{{fullurl:wikidata:Q798019}} Q798019]
4	[[:de:|de]]	[{{fullurl:de:HMS_Exeter_(68)}} HMS Exeter (68)]	94	20		 [{{fullurl:wikidata:Q428315}} Q428315]
5	[[:be:|be]]	[{{fullurl:be:Талаўд}} Талаўд]	0	19	[{{fullurl:id:Talaud}} Talaud]	 [{{fullurl:wikidata:Q15844}} Q15844]
6	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_135_องศาตะวันออก}} เส้นเมริเดียนที่ 135 องศาตะวันออก]	23	19		 [{{fullurl:wikidata:Q1349678}} Q1349678]
7	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_95_องศาตะวันออก}} เส้นเมริเดียนที่ 95 องศาตะวันออก]	3	17		 [{{fullurl:wikidata:Q2663207}} Q2663207]
8	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_115_องศาตะวันออก}} เส้นเมริเดียนที่ 115 องศาตะวันออก]	1	16		 [{{fullurl:wikidata:Q2663182}} Q2663182]
9	[[:es:|es]]	[{{fullurl:es:Islas_Sangihe}} Islas Sangihe]	3	16	[{{fullurl:id:Pulau_Sangihe}} Pulau Sangihe]	 [{{fullurl:wikidata:Q14630786}} Q14630786]
10	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_125_องศาตะวันออก}} เส้นเมริเดียนที่ 125 องศาตะวันออก]	3	16		 [{{fullurl:wikidata:Q1186477}} Q1186477]
11	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_105_องศาตะวันออก}} เส้นเมริเดียนที่ 105 องศาตะวันออก]	53	16		 [{{fullurl:wikidata:Q2663212}} Q2663212]
12	[[:vi:|vi]]	[{{fullurl:vi:HMAS_Perth_(D29)}} HMAS Perth (D29)]	0	15		 [{{fullurl:wikidata:Q661264}} Q661264]
13	[[:de:|de]]	[{{fullurl:de:Alor-Archipel}} Alor-Archipel]	3	15	[{{fullurl:id:Kepulauan_Alor}} Kepulauan Alor]	 [{{fullurl:wikidata:Q1866307}} Q1866307]
14	[[:be:|be]]	[{{fullurl:be:Каракелонг}} Каракелонг]	0	15		 [{{fullurl:wikidata:Q687975}} Q687975]
15	[[:ru:|ru]]	[{{fullurl:ru:Амто-мусианские_языки}} Амто-мусианские языки]	1	15		 [{{fullurl:wikidata:Q480281}} Q480281]
16	[[:sv:|sv]]	[{{fullurl:sv:Pulau_Mangole}} Pulau Mangole]	0	14		 [{{fullurl:wikidata:Q1529054}} Q1529054]
17	[[:sv:|sv]]	[{{fullurl:sv:Sangihe_Besar_Island}} Sangihe Besar Island]	0	14		 [{{fullurl:wikidata:Q3100064}} Q3100064]
18	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_101_องศาตะวันออก}} เส้นเมริเดียนที่ 101 องศาตะวันออก]	3	14		 [{{fullurl:wikidata:Q2700214}} Q2700214]
19	[[:ca:|ca]]	[{{fullurl:ca:Meridià_94_a_l'est}} Meridià 94 a l'est]	0	13		 [{{fullurl:wikidata:Q2705886}} Q2705886]
20	[[:ca:|ca]]	[{{fullurl:ca:Meridià_96_a_l'est}} Meridià 96 a l'est]	0	13		 [{{fullurl:wikidata:Q779331}} Q779331]
