	Wiki	Title	Pageviews	Interwiki	Kannada WD Label	WD Qitem
0	[[:en:|en]]	[{{fullurl:en:Slumdog_Millionaire}} Slumdog Millionaire]	7802	78		 [{{fullurl:wikidata:Q125076}} Q125076]
6	[[:en:|en]]	[{{fullurl:en:Dutch_East_India_Company}} Dutch East India Company]	6300	72		 [{{fullurl:wikidata:Q159766}} Q159766]
9	[[:en:|en]]	[{{fullurl:en:Kozhikode}} Kozhikode]	2092	68	[{{fullurl:kn:ಕೊಜಿಕೊಡೆ}} ಕೊಜಿಕೊಡೆ]	 [{{fullurl:wikidata:Q28729}} Q28729]
12	[[:en:|en]]	[{{fullurl:en:Aurangabad,_Maharashtra}} Aurangabad, Maharashtra]	3047	58	[{{fullurl:kn:ಔರಂಗಾಬಾದ್}} ಔರಂಗಾಬಾದ್]	 [{{fullurl:wikidata:Q200713}} Q200713]
14	[[:en:|en]]	[{{fullurl:en:Laccadive_Sea}} Laccadive Sea]	396	55		 [{{fullurl:wikidata:Q544914}} Q544914]
15	[[:en:|en]]	[{{fullurl:en:Palk_Strait}} Palk Strait]	820	55		 [{{fullurl:wikidata:Q186299}} Q186299]
18	[[:en:|en]]	[{{fullurl:en:Kollam}} Kollam]	831	51	[{{fullurl:kn:ಕೊಲ್ಲಂ}} ಕೊಲ್ಲಂ]	 [{{fullurl:wikidata:Q321475}} Q321475]
21	[[:en:|en]]	[{{fullurl:en:Wadi}} Wadi]	954	50		 [{{fullurl:wikidata:Q187971}} Q187971]
22	[[:en:|en]]	[{{fullurl:en:Nellore}} Nellore]	776	49	[{{fullurl:kn:ನೆಲ್ಲೋರೆ}} ನೆಲ್ಲೋರೆ]	 [{{fullurl:wikidata:Q61434}} Q61434]
25	[[:en:|en]]	[{{fullurl:en:The_Bourne_Supremacy_(film)}} The Bourne Supremacy (film)]	3024	49		 [{{fullurl:wikidata:Q156608}} Q156608]
26	[[:en:|en]]	[{{fullurl:en:Pimpri-Chinchwad}} Pimpri-Chinchwad]	611	47	[{{fullurl:kn:ಪಿಂಪ್ರಿ-ಚಿಂಚ್ವಾಡ್}} ಪಿಂಪ್ರಿ-ಚಿಂಚ್ವಾಡ್]	 [{{fullurl:wikidata:Q119219}} Q119219]
28	[[:en:|en]]	[{{fullurl:en:Machilipatnam}} Machilipatnam]	738	44	[{{fullurl:kn:ಮಚಿಲಿಪಟ್ನಮ್}} ಮಚಿಲಿಪಟ್ನಮ್]	 [{{fullurl:wikidata:Q845662}} Q845662]
31	[[:en:|en]]	[{{fullurl:en:Mission:_Impossible_–_Ghost_Protocol}} Mission: Impossible – Ghost Protocol]	5950	43		 [{{fullurl:wikidata:Q628154}} Q628154]
35	[[:en:|en]]	[{{fullurl:en:Chhatrapati_Shivaji_Maharaj_International_Airport}} Chhatrapati Shivaji Maharaj International Airport]	4094	42		 [{{fullurl:wikidata:Q504368}} Q504368]
37	[[:en:|en]]	[{{fullurl:en:Erode}} Erode]	694	42	[{{fullurl:kn:ಈರೋಡ್}} ಈರೋಡ್]	 [{{fullurl:wikidata:Q9824}} Q9824]
40	[[:en:|en]]	[{{fullurl:en:Adilabad}} Adilabad]	268	42	[{{fullurl:kn:ಅದಿಲಾಬಾದ್}} ಅದಿಲಾಬಾದ್]	 [{{fullurl:wikidata:Q494281}} Q494281]
45	[[:en:|en]]	[{{fullurl:en:Eastern_Ghats}} Eastern Ghats]	1736	40		 [{{fullurl:wikidata:Q465055}} Q465055]
47	[[:en:|en]]	[{{fullurl:en:Thoothukudi}} Thoothukudi]	871	40	[{{fullurl:kn:ತೂತುಕುಡಿ}} ತೂತುಕುಡಿ]	 [{{fullurl:wikidata:Q41562}} Q41562]
