	Wiki	Title	Pageviews	Interwiki	Odia WD Label	WD Qitem
0	[[:en:|en]]	[{{fullurl:en:Bengal}} Bengal]	3754	85	[{{fullurl:or:ବଙ୍ଗ}} ବଙ୍ଗ]	 [{{fullurl:wikidata:Q80338}} Q80338]
7	[[:en:|en]]	[{{fullurl:en:British_Raj}} British Raj]	12362	84	[{{fullurl:or:ବ୍ରିଟିଶ_ରାଜ}} ବ୍ରିଟିଶ ରାଜ]	 [{{fullurl:wikidata:Q129286}} Q129286]
13	[[:en:|en]]	[{{fullurl:en:Jaynagar_Majilpur}} Jaynagar Majilpur]	103	76	[{{fullurl:or:ଜୟନଗର_ମଜିଲପୁର}} ଜୟନଗର ମଜିଲପୁର]	 [{{fullurl:wikidata:Q2330643}} Q2330643]
18	[[:en:|en]]	[{{fullurl:en:The_Avengers_(2012_film)}} The Avengers (2012 film)]	96011	75		 [{{fullurl:wikidata:Q182218}} Q182218]
19	[[:ur:|ur]]	[{{fullurl:ur:دریائے_گوداوری}} دریائے گوداوری]	1	73		 [{{fullurl:wikidata:Q191314}} Q191314]
24	[[:en:|en]]	[{{fullurl:en:Battle_of_Plassey}} Battle of Plassey]	5128	47		 [{{fullurl:wikidata:Q203233}} Q203233]
31	[[:en:|en]]	[{{fullurl:en:University_of_Calcutta}} University of Calcutta]	1643	46	[{{fullurl:or:କଲିକତା_ବିଶ୍ଵବିଦ୍ୟାଳୟ}} କଲିକତା ବିଶ୍ଵବିଦ୍ୟାଳୟ]	 [{{fullurl:wikidata:Q1145306}} Q1145306]
38	[[:en:|en]]	[{{fullurl:en:Manas_National_Park}} Manas National Park]	1224	43		 [{{fullurl:wikidata:Q506511}} Q506511]
43	[[:en:|en]]	[{{fullurl:en:Eastern_Ghats}} Eastern Ghats]	1736	40		 [{{fullurl:wikidata:Q465055}} Q465055]
49	[[:en:|en]]	[{{fullurl:en:Durgapur}} Durgapur]	803	38		 [{{fullurl:wikidata:Q5088}} Q5088]
54	[[:en:|en]]	[{{fullurl:en:Hooghly_River}} Hooghly River]	940	37		 [{{fullurl:wikidata:Q739687}} Q739687]
61	[[:en:|en]]	[{{fullurl:en:Jantar_Mantar,_Jaipur}} Jantar Mantar, Jaipur]	946	37		 [{{fullurl:wikidata:Q508634}} Q508634]
63	[[:en:|en]]	[{{fullurl:en:Bardhaman}} Bardhaman]	729	36		 [{{fullurl:wikidata:Q709267}} Q709267]
68	[[:en:|en]]	[{{fullurl:en:Lion_(2016_film)}} Lion (2016 film)]	6551	36		 [{{fullurl:wikidata:Q23013699}} Q23013699]
69	[[:en:|en]]	[{{fullurl:en:Charminar}} Charminar]	3560	36	[{{fullurl:or:ଚାରମୀନାର}} ଚାରମୀନାର]	 [{{fullurl:wikidata:Q1771696}} Q1771696]
70	[[:en:|en]]	[{{fullurl:en:Chandannagar}} Chandannagar]	504	35		 [{{fullurl:wikidata:Q695591}} Q695591]
